Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1672,1672,4,4,1650,-58.7392,
1672,1672,6,6,1650,-58.7378,
1672,1672,8,8,1650,-58.7367,
1673,1673,0,0,1650,-58.7379,
1673,1673,2,2,1650,-58.7379,
1673,1673,4,4,1650,-58.7378,
1673,1673,6,6,1650,-58.7369,
1673,1673,8,8,1650,-58.7389,
1674,1674,0,0,1650,-58.738,
1674,1674,2,2,1650,-58.7382,
1674,1674,4,4,1650,-58.7366,
1674,1674,6,6,1650,-58.7382,
1674,1674,8,7.91,1650,-58.739,
1675,1675,0,0,1650,-58.7381,
1675,1675,2,2,1650,-58.7384,
1675,1675,4,4,1650,-58.7382,
1675,1675,6,6,1650,-58.7381,
1675,1675,8,7.77,1650,-58.7382,
1676,1676,0,0,1650,-58.7391,
1676,1676,2,2,1650,-58.7395,
1676,1676,4,4,1650,-58.7387,
1676,1676,6,6,1650,-58.7375,
1676,1676,8,7.64,1650,-58.7373,
1677,1677,0,0,1650,-58.7368,
1677,1677,2,2,1650,-58.7384,
1677,1677,4,4,1650,-58.7387,
1677,1677,6,6,1650,-58.7382,
1677,1677,8,7.56,1650,-58.7393,
1678,1678,0,0,1650,-58.7373,
1678,1678,2,2,1650,-58.7381,
1678,1678,4,4,1650,-58.7381,
1678,1678,6,6,1650,-58.7392,
1678,1678,8,7.4,1650,-58.7396,
1679,1679,0,0,1650,-58.7378,
1679,1679,2,2,1650,-58.7388,
1679,1679,4,4,1650,-58.7383,
1679,1679,6,6,1650,-58.7387,
1679,1679,8,7.29,1650,-58.7387,
1680,1680,0,0,1650,-58.7383,
1680,1680,2,2,1650,-58.7386,
1680,1680,4,4,1650,-58.7362,
1680,1680,6,6,1650,-58.7377,
1680,1680,8,7.2,1650,-58.7371,
1681,1680,0,0,1650,-58.7374,
1681,1680,2,2,1650,-58.7379,
1681,1680,4,4,1650,-58.7362,
1681,1680,6,6,1650,-58.736,
1681,1680,8,7.19,1650,-58.7364,
1682,1680,0,0,1650,-58.738,
1682,1680,2,2,1650,-58.7365,
1682,1680,4,4,1650,-58.7375,
1682,1680,6,6,1650,-58.7386,
1682,1680,8,7.18,1650,-58.7375,
1683,1680,0,0,1650,-58.7383,
1683,1680,2,2,1650,-58.7379,
1683,1680,4,4,1650,-58.7375,
1683,1680,6,6,1650,-58.7383,
1683,1680,8,7.17,1650,-58.7372,
1684,1680,0,0,1650,-58.7381,
1684,1680,2,2,1650,-58.7373,
1684,1680,4,4,1650,-58.7377,
1684,1680,6,6,1650,-58.7377,
1684,1680,8,7.16,1650,-58.7367,
1685,1680,0,0,1650,-58.7371,
1685,1680,2,2,1650,-58.7382,
1685,1680,4,4,1650,-58.7371,
1685,1680,6,6,1650,-58.7376,
1685,1680,8,7.16,1650,-58.7373,
1686,1680,0,0,1650,-58.737,
1686,1680,2,2,1650,-58.7388,
1686,1680,4,4,1650,-58.7382,
