T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1365,1,1.01,1365,-84.8347,
1365,1.1,1.1,1365,-84.2581,
1365,1.2,1.2,1365,-85.0568,
1365,1.3,1.3,1365,-84.5236,
1365,1.4,1.4,1365,-84.3639,
1365,1.5,1.51,1365,-84.8542,
1365,1.6,1.6,1365,-85.0007,
1365,1.7,1.7,1365,-84.441,
1365,1.8,1.8,1365,-84.5697,
1365,1.9,1.9,1365,-84.5069,
1365,2,2,1365,-84.3359,
1365,2.1,2.1,1365,-84.6706,
1365,2.2,2.2,1365,-84.3787,
1365,2.3,2.31,1365,-84.2373,
1365,2.4,2.4,1365,-84.5333,
1365,2.5,2.5,1365,-84.7417,
1365,2.6,2.6,1365,-84.4766,
1365,2.7,2.7,1365,-84.2988,
1365,2.8,2.8,1365,-84.662,
1365,2.9,2.9,1365,-84.8678,
1365,3,3,1365,-84.3989,
1365,3.1,3.1,1365,-84.714,
1365,3.2,3.2,1365,-85.0616,
1365,3.3,3.31,1365,-84.774,
1365,3.4,3.4,1365,-84.5487,
1365,3.5,3.5,1365,-84.8828,
1365,3.6,3.6,1365,-84.9269,
1365,3.7,3.7,1365,-84.8243,
1365,3.8,3.8,1365,-84.6793,
1365,3.9,3.9,1365,-84.6952,
1365,4,4,1365,-84.7096,
1365,4.1,4.1,1365,-84.3213,
1365,4.2,4.2,1365,-84.8214,
1365,4.3,4.3,1365,-84.4753,
1365,4.4,4.4,1365,-84.9055,
1365,4.5,4.5,1365,-84.6334,
1365,4.6,4.6,1365,-84.7769,
1365,4.7,4.7,1365,-84.6894,
1365,4.8,4.8,1365,-84.9836,
1365,4.9,4.9,1365,-84.8139,
1365,5,5,1365,-84.581,
1365,5.1,5.1,1365,-85.0458,
1365,5.2,5.2,1365,-84.7242,
1365,5.3,5.3,1365,-84.9071,
1365,5.4,5.4,1365,-84.7828,
1365,5.5,5.51,1365,-84.8708,
1365,5.6,5.6,1365,-84.9192,
1365,5.7,5.7,1365,-84.8693,
1365,5.8,5.8,1365,-84.8798,
1365,5.9,5.9,1365,-85.5647,
1365,6,6,1365,-85.2006,
1365,6.1,6.1,1365,-85.178,
1365,6.2,6.2,1365,-84.5292,
1365,6.3,6.3,1365,-84.8919,
1365,6.4,6.4,1365,-84.8843,
1365,6.5,6.5,1365,-84.7183,
1365,6.6,6.59,1365,-85.1474,
1365,6.7,6.39,1365,-84.4003,
1365,6.8,6.2,1365,-84.8512,
1365,6.9,6.05,1365,-84.8184,
1365,7,5.94,1365,-84.8995,
1370,-6.9,-6.88,1370,-85.5895,
1370,-6.8,-6.78,1370,-84.7924,
1370,-6.7,-6.73,1370,-84.4682,
1370,-6.6,-6.6,1370,-84.8115,
1370,-6.5,-6.53,1370,-84.8248,
1370,-6.4,-6.37,1370,-85.3448,
1370,-6.3,-6.32,1370,-84.5816,
1370,-6.2,-6.23,1370,-84.7572,
1370,-6.1,-6.1,1370,-85.0047,
1370,-6,-5.99,1370,-84.9954,
1370,-5.9,-5.91,1370,-85.2117,
1370,-5.8,-5.8,1370,-84.997,
1370,-5.7,-5.73,1370,-85.5341,
1370,-5.6,-5.61,1370,-85.5533,
1370,-5.5,-5.5,1370,-84.6936,
1370,-5.4,-5.4,1370,-84.9571,
1370,-5.3,-5.28,1370,-85.1235,
1370,-5.2,-5.22,1370,-84.7733,
1370,-5.1,-5.12,1370,-84.9176,
1370,-5,-5.03,1370,-84.6907,
1370,-4.9,-4.92,1370,-85.0544,
1370,-4.8,-4.82,1370,-84.4451,
1370,-4.7,-4.68,1370,-84.7909,
1370,-4.6,-4.6,1370,-84.7924,
1370,-4.5,-4.49,1370,-85.0108,
1370,-4.4,-4.41,1370,-84.5245,
1370,-4.3,-4.33,1370,-84.4887,
1370,-4.2,-4.2,1370,-84.8174,
1370,-4.1,-4.11,1370,-84.7065,
1370,-4,-3.99,1370,-84.5495,
1370,-3.9,-3.91,1370,-84.8086,
1370,-3.8,-3.79,1370,-84.853,
1370,-3.7,-3.72,1370,-84.9985,
1370,-3.6,-3.61,1370,-85.1299,
1370,-3.5,-3.5,1370,-85.1649,
1370,-3.4,-3.4,1370,-84.7022,
1370,-3.3,-3.29,1370,-84.5634,
1370,-3.2,-3.2,1370,-84.9479,
1370,-3.1,-3.09,1370,-84.4669,
1370,-3,-3,1370,-85.4002,
1370,-2.9,-2.9,1370,-85.0481,
1370,-2.8,-2.81,1370,-85.4393,
1370,-2.7,-2.69,1370,-84.8694,
1370,-2.6,-2.6,1370,-84.6166,
1370,-2.5,-2.49,1370,-85.014,
1370,-2.4,-2.4,1370,-84.3925,
1370,-2.3,-2.29,1370,-84.6592,
1370,-2.2,-2.22,1370,-84.9633,
1370,-2.1,-2.11,1370,-84.844,
1370,-2,-2.01,1370,-85.1235,
1370,-1.9,-1.91,1370,-85.2785,
1370,-1.8,-1.81,1370,-85.4018,
1370,-1.7,-1.7,1370,-84.9237,
1370,-1.6,-1.6,1370,-84.6054,
1370,-1.5,-1.51,1370,-85.5516,
1370,-1.4,-1.4,1370,-84.8965,
1370,-1.3,-1.31,1370,-85.254,
1370,-1.2,-1.2,1370,-84.5148,
1370,-1.1,-1.1,1370,-85.2951,
1370,-1,-0.99,1370,-84.747,
1370,-0.9,-0.9,1370,-85.1379,
1370,-0.8,-0.8,1370,-85.5028,
1370,-0.7,-0.71,1370,-84.9115,
1370,-0.6,-0.59,1370,-84.7065,
1370,-0.5,-0.51,1370,-84.9418,
1370,-0.4,-0.4,1370,-84.6936,
1370,-0.3,-0.3,1370,-84.7123,
1370,-0.2,-0.19,1370,-84.5245,
1370,-0.1,-0.1,1370,-84.6054,
1370,-8.13238e-15,-0.1,1370,-84.8829,
1370,0.1,0.09,1370,-84.7065,
1370,0.2,0.2,1370,-84.6237,
1370,0.3,0.31,1370,-84.6964,
