T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1470,-0.05,1470.0850,-0.390,+3.67598600E-011
1470,-0.04,1470.0850,-0.420,+3.64973400E-011
1470,-0.05,1470.0849,-0.400,+3.66950300E-011
1470,-0.04,1470.0849,-0.420,+3.67568700E-011
1470,-0.05,1470.0849,-0.370,+3.66955000E-011
1470,-0.05,1470.0849,-0.460,+3.67583700E-011
1470,-0.05,1470.0848,-0.390,+3.68026300E-011
1470,-0.05,1470.0848,-0.420,+3.65133500E-011
1470,-0.05,1470.0847,-0.350,+3.64923400E-011
1470,-0.04,1470.0847,-0.420,+3.67209600E-011
1470,-0.04,1470.0847,-0.430,+3.66616700E-011
1470,-0.05,1470.0846,-0.420,+3.64594000E-011
1470,-0.05,1470.0846,-0.370,+3.66962400E-011
1470,-0.05,1470.0846,-0.430,+3.63677100E-011
1470,-0.04,1470.0845,-0.430,+3.65196700E-011
1470,-0.05,1470.0845,-0.430,+3.68030600E-011
1470,-0.04,1470.0845,-0.460,+3.68069200E-011
1470,-0.04,1470.0844,-0.620,+3.66430400E-011
1470,-0.05,1470.0844,-0.670,+3.66096700E-011
1470,-0.05,1470.0844,-0.680,+3.65597100E-011
1470,-0.04,1470.0843,-0.650,+3.61712900E-011
1470,-0.04,1470.0843,-0.630,+3.64711200E-011
1470,-0.04,1470.0843,-0.570,+3.65764200E-011
1470,-0.04,1470.0842,-0.620,+3.68669200E-011
1470,-0.04,1470.0842,-0.620,+3.67072700E-011
1470,-0.04,1470.0842,-0.620,+3.70556600E-011
1470,-0.04,1470.0842,-0.640,+3.69187500E-011
1470,-0.04,1470.0841,-0.600,+3.66545700E-011
1470,-0.05,1470.0841,-0.600,+3.62983600E-011
1470,-0.04,1470.0841,-0.580,+3.66209000E-011
1470,-0.04,1470.0840,-0.600,+3.67695800E-011
1470,-0.05,1470.0840,-0.590,+3.67796500E-011
1470,-0.04,1470.0840,-0.570,+3.69914000E-011
1470,-0.05,1470.0839,-0.630,+3.67479500E-011
1470,-0.04,1470.0839,-0.600,+3.69152500E-011
1470,-0.04,1470.0839,-0.580,+3.68612100E-011
1470,-0.05,1470.0838,-0.570,+3.66705600E-011
1470,-0.05,1470.0838,-0.600,+3.65285300E-011
1470,-0.05,1470.0838,-0.570,+3.66958100E-011
1470,-0.04,1470.0837,-0.520,+3.68547400E-011
1470,-0.05,1470.0837,-0.620,+3.65990100E-011
1470,-0.05,1470.0837,-0.600,+3.62969200E-011
1470,-0.05,1470.0836,-0.620,+3.65823300E-011
1470,-0.05,1470.0836,-0.610,+3.67115800E-011
1470,-0.05,1470.0836,-0.620,+3.68925800E-011
1470,-0.05,1470.0836,-0.620,+3.64487500E-011
1470,-0.05,1470.0835,-0.600,+3.66421000E-011
1470,-0.05,1470.0835,-0.620,+3.69348000E-011
1470,-0.05,1470.0835,-0.640,+3.67423800E-011
1470,-0.05,1470.0834,-0.570,+3.68240600E-011
1470,-0.05,1470.0834,-0.600,+3.67277500E-011
1470,-0.05,1470.0834,-0.570,+3.69688000E-011
1470,-0.05,1470.0833,-0.600,+3.65983600E-011
1470,-0.05,1470.0833,-0.600,+3.70390600E-011
1470,-0.05,1470.0833,-0.570,+3.67731500E-011
1470,-0.05,1470.0832,-0.330,+3.67006600E-011
1470,-0.04,1470.0832,-0.460,+3.67854300E-011
1470,-0.04,1470.0832,-0.570,+3.70430400E-011
1470,-0.05,1470.0831,-0.410,+3.67791400E-011
1470,-0.05,1470.0831,-0.620,+3.71474600E-011
1470,-0.05,1470.0831,-0.350,+3.68608100E-011
1470,-0.05,1470.0831,-0.380,+3.69305900E-011
1470,-0.04,1470.0831,-0.400,+3.68928400E-011
1470,-0.04,1470.0830,-0.420,+3.68002600E-011
1470,-0.05,1470.0830,-0.400,+3.70325200E-011
1470,-0.05,1470.0829,-0.370,+3.68562000E-011
1470,-0.05,1470.0829,-0.380,+3.68153100E-011
1470,-0.04,1470.0829,-0.350,+3.64715000E-011
1470,-0.05,1470.0829,-0.430,+3.66375000E-011
1470,-0.04,1470.0828,-0.400,+3.65904400E-011
1470,-0.04,1470.0828,-0.390,+3.69797800E-011
1470,-0.04,1470.0828,-0.360,+3.68665100E-011
1470,-0.04,1470.0828,-0.390,+3.66933800E-011
1470,-0.05,1470.0827,-0.420,+3.63993700E-011
1470,-0.05,1470.0827,-0.420,+3.63554900E-011
1470,-0.04,1470.0826,-0.420,+3.68768700E-011
1470,-0.04,1470.0826,-0.390,+3.66727800E-011
1470,-0.05,1470.0826,-0.440,+3.65152400E-011
1470,-0.04,1470.0826,-0.400,+3.70560800E-011
1470,-0.05,1470.0826,-0.390,+3.69347300E-011
1470,-0.05,1470.0825,-0.360,+3.66191300E-011
1470,-0.05,1470.0825,-0.410,+3.69185000E-011
1470,-0.05,1470.0825,-0.440,+3.67685600E-011
1470,-0.05,1470.0824,-0.420,+3.69078100E-011
1470,-0.05,1470.0824,-0.390,+3.68508500E-011
1470,-0.04,1470.0824,-0.360,+3.68650900E-011
1470,-0.05,1470.0824,-0.430,+3.67853700E-011
1470,-0.05,1470.0823,-0.420,+3.65280700E-011
1470,-0.04,1470.0823,-0.380,+3.64783500E-011
1470,-0.05,1470.0823,-0.350,+3.69913200E-011
1470,-0.05,1470.0822,-0.410,+3.66318300E-011
1470,-0.05,1470.0822,-0.380,+3.69950700E-011
1470,-0.05,1470.0822,-0.360,+3.68637800E-011
1470,-0.05,1470.0822,-0.410,+3.66333800E-011
1470,-0.05,1470.0821,-0.380,+3.67281600E-011
1470,-0.04,1470.0821,-0.380,+3.69974000E-011
1470,-0.05,1470.0821,-0.330,+3.64749000E-011
1470,-0.04,1470.0820,-0.400,+3.66099300E-011
1470,-0.04,1470.0820,-0.390,+3.63929900E-011
1470,-0.05,1470.0820,-0.380,+3.66467500E-011
